Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Year,Month,Quarter,Week,Day,DayOfWeek,Weekend,HHS_Lag_1,HHS_Lag_7,HHS_Lag_14,HHS_Lag_30,Rolling7,Rolling14,Rolling30,GrowthRate,Target
2023-03-08,113.0,208.0,159.0,7885,291.0,2023,3,1,10,8,2,0,7859.0,7914.0,7483.0,6566.0,7835.571428571428,7855.785714285715,7735.166666666667,0.0033083089451584335,7786.0
2023-03-09,174.0,285.0,150.0,7786,340.0,2023,3,1,10,9,3,0,7885.0,7609.0,7794.0,7122.0,7860.857142857143,7855.214285714285,7757.3,-0.012555485098287855,7567.0
2023-03-13,104.0,230.0,206.0,7567,249.0,2023,3,1,11,13,0,0,7786.0,7800.0,7869.0,7280.0,7827.571428571428,7833.642857142857,7766.866666666667,-0.02812740816850756,7810.0
2023-03-14,147.0,276.0,214.0,7810,181.0,2023,3,1,11,14,1,0,7567.0,7896.0,7793.0,7433.0,7815.285714285715,7834.857142857143,7779.433333333333,0.032113122769922064,7915.0
2023-03-15,108.0,220.0,213.0,7915,286.0,2023,3,1,11,15,2,0,7810.0,7930.0,7817.0,7538.0,7813.142857142857,7841.857142857143,7792.0,0.013444302176696565,7989.0
2023-03-16,180.0,280.0,146.0,7989,308.0,2023,3,1,11,16,3,0,7915.0,7870.0,7967.0,7472.0,7830.142857142857,7843.428571428572,7809.233333333334,0.00934933670246374,7885.0
2023-03-19,134.0,294.0,186.0,7885,306.0,2023,3,1,11,19,6,1,7989.0,7859.0,7978.0,7743.0,7833.857142857143,7836.785714285715,7813.966666666666,-0.013017899611966421,7931.0
2023-03-20,202.0,313.0,158.0,7931,279.0,2023,3,1,12,20,0,0,7885.0,7885.0,7914.0,7803.0,7840.428571428572,7838.0,7818.233333333334,0.005833861762840842,8050.0
2023-03-21,110.0,272.0,193.0,8050,221.0,2023,3,1,12,21,1,0,7931.0,7786.0,7609.0,7903.0,7878.142857142857,7869.5,7823.133333333333,0.015004413062665423,8097.0
2023-03-22,166.0,277.0,229.0,8097,246.0,2023,3,1,12,22,2,0,8050.0,7567.0,7800.0,7879.0,7953.857142857143,7890.714285714285,7830.4,0.005838509316770102,8102.0
2023-03-23,136.0,276.0,178.0,8102,331.0,2023,3,1,12,23,3,0,8097.0,7810.0,7896.0,7586.0,7995.571428571428,7905.428571428572,7847.6,0.0006175126590095559,7847.0
2023-03-26,87.0,246.0,173.0,7847,352.0,2023,3,1,12,26,6,1,8102.0,7915.0,7930.0,7720.0,7985.857142857143,7899.5,7851.833333333333,-0.03147371019501355,7994.0
2023-03-27,84.0,171.0,157.0,7994,235.0,2023,3,1,13,27,0,0,7847.0,7989.0,7870.0,7855.0,7986.571428571428,7908.357142857143,7856.466666666666,0.01873327386262269,8079.0
2023-03-28,167.0,209.0,157.0,8079,223.0,2023,3,1,13,28,1,0,7994.0,7885.0,7859.0,7915.0,8014.285714285715,7924.071428571428,7861.933333333333,0.010632974731048295,8208.0
2023-03-29,109.0,245.0,159.0,8208,267.0,2023,3,1,13,29,2,0,8079.0,7931.0,7885.0,7908.0,8053.857142857143,7947.142857142857,7871.933333333333,0.01596732268845158,8158.0
2023-03-30,156.0,256.0,176.0,8158,359.0,2023,3,1,13,30,3,0,8208.0,8050.0,7786.0,7434.0,8069.285714285715,7973.714285714285,7896.066666666667,-0.006091617933723148,7981.0
2023-04-02,125.0,232.0,192.0,7981,304.0,2023,4,2,13,2,6,1,8158.0,8097.0,7567.0,7483.0,8052.714285714285,8003.285714285715,7912.666666666667,-0.02169649423878406,8054.0
2023-04-03,118.0,139.0,168.0,8054,284.0,2023,4,2,14,3,0,0,7981.0,8102.0,7810.0,7794.0,8045.857142857143,8020.714285714285,7921.333333333333,0.009146723468236972,8068.0
2023-04-04,142.0,235.0,139.0,8068,259.0,2023,4,2,14,4,1,0,8054.0,7847.0,7915.0,7869.0,8077.428571428572,8031.642857142857,7927.966666666666,0.0017382666997765028,8175.0
2023-04-05,148.0,245.0,175.0,8175,260.0,2023,4,2,14,5,2,0,8068.0,7994.0,7989.0,7793.0,8103.285714285715,8044.928571428572,7940.7,0.013262270699057943,8178.0
