Feature,Importance
Children in HHS Care,0.4688395810296598
HHS_Lag_1,0.3349259931503351
Rolling7,0.17221191540657343
Rolling14,0.013689094958327456
HHS_Lag_7,0.002584034166016657
HHS_Lag_14,0.0024551154432173026
Rolling30,0.0018835787339810462
Week,0.0008096920607990399
Month,0.0006757055803709378
Children apprehended and placed in CBP custody*,0.000489394091696075
Children discharged from HHS Care,0.0002980602857704926
HHS_Lag_30,0.00025493485609880633
Children transferred out of CBP custody,0.0002478450907812469
Children in CBP custody,0.00024648972446591414
GrowthRate,0.00017166111898955273
Day,0.00013289107920076124
DayOfWeek,5.6082961408048044e-05
Year,1.4597035373387344e-05
Quarter,9.926976132631927e-06
Weekend,3.406250802181857e-06
